index,itemId
Item_Attach_Weapon_Magazine_Extended_Large_C,1726
Item_Attach_Weapon_Magazine_QuickDraw_Large_C,1248
Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C,992
Item_Attach_Weapon_Magazine_Extended_SniperRifle_C,766
Item_Attach_Weapon_Magazine_Extended_Medium_C,11
