index,itemId
Item_Attach_Weapon_Lower_Foregrip_C,1269
Item_Attach_Weapon_Lower_HalfGrip_C,721
Item_Attach_Weapon_Lower_ThumbGrip_C,615
Item_Attach_Weapon_Lower_LightweightForeGrip_C,481
Item_Attach_Weapon_Lower_AngledForeGrip_C,346
