index,itemId
Item_Attach_Weapon_Upper_DotSight_01_C,2695
Item_Attach_Weapon_Upper_Scope3x_C,1329
Item_Attach_Weapon_Upper_ACOG_01_C,992
Item_Attach_Weapon_Upper_Scope6x_C,800
Item_Attach_Weapon_Upper_Aimpoint_C,716
