index,itemId
Item_Attach_Weapon_Muzzle_FlashHider_Large_C,1453
Item_Attach_Weapon_Muzzle_Compensator_Large_C,1160
Item_Attach_Weapon_Muzzle_Compensator_SniperRifle_C,411
Item_Attach_Weapon_Muzzle_Suppressor_Large_C,358
Item_Attach_Weapon_Muzzle_FlashHider_SniperRifle_C,306
